adult,genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget,release_year,release_month,num_genres,release_season,budget_revenue_ratio
False,"[35, 28, 14]",13509,en,24.246,1987-08-14,The Monster Squad,6.719,534,3769990.0,"['TriStar Pictures', 'Keith Barish Productions', 'TAFT Entertainment Pictures', 'HBO']",12000000.0,1987,8,3,Summer,3.1830323157355855
False,"[35, 18, 10749]",4587,en,23.688,1990-12-14,Mermaids,6.719,470,35419397.0,['Orion Pictures'],31000000.0,1990,12,3,Winter,0.8752266448804874
False,"[9648, 12]",11904,en,19.053,1985-12-04,Young Sherlock Holmes,6.718,584,63700000.0,"['Amblin Entertainment', 'Paramount']",18000000.0,1985,12,2,Winter,0.282574568288854
False,"[14, 35, 10749]",7985,en,16.001,2006-03-01,Penelope,6.718,1346,21156270.0,"['Summit Entertainment', 'Tatira-Hiller Productions', 'Grosvenor Park Media', 'Type A Films']",15000000.0,2006,3,3,Spring,0.7090096694738723
False,"[16, 12, 10751]",82703,en,46.848,2014-02-07,Mr. Peabody & Sherman,6.717,2250,272912430.0,"['Pacific Data Images', 'DreamWorks Animation', 'Bullwinkle Studios', '20th Century Fox']",145000000.0,2014,2,3,Winter,0.5313059577388981
False,"[28, 12, 18, 10751]",12227,en,28.358,1991-01-18,White Fang,6.717,570,34793160.0,"['Walt Disney Pictures', 'Silver Screen Partners IV', 'Hybrid Productions Inc.']",14000000.0,1991,1,4,Winter,0.4023779386523098
False,[35],8699,en,26.215,2004-06-28,Anchorman: The Legend of Ron Burgundy,6.717,3968,90574188.0,"['DreamWorks Pictures', 'Apatow Productions']",26000000.0,2004,6,1,Summer,0.28705750031123656
False,"[12, 28, 53, 878]",605,en,60.489,2003-11-05,The Matrix Revolutions,6.717,9461,424988211.0,"['Village Roadshow Pictures', 'NPV Entertainment', 'Silver Pictures']",150000000.0,2003,11,4,Fall,0.352950966915174
False,"[53, 9648]",29917,en,19.191,2009-06-19,Exam,6.715,1925,394717.0,['Bedlam Productions'],600000.0,2009,6,2,Summer,1.5200764091741679
False,"[80, 35, 28, 18]",8348,en,21.415,1974-05-23,Thunderbolt and Lightfoot,6.718,493,25000000.0,"['Malpaso Productions', 'United Artists']",4000000.0,1974,5,4,Spring,0.16
False,"[35, 10749]",10591,en,42.655,2004-04-09,The Girl Next Door,6.7,3323,31635150.0,"['Epsilon Motion Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Daybreak', '20th Century Fox']",21000000.0,2004,4,2,Spring,0.6638185689019966
False,"[18, 10749, 35]",3784,en,36.428,1991-10-11,Frankie and Johnny,6.7,518,22773535.0,['Paramount'],29000000.0,1991,10,3,Fall,1.2734079272278107
False,"[18, 36, 10402]",491283,en,20.607,2019-09-27,Judy,6.713,1123,38981322.0,"['BBC Film', 'Calamity Films', 'Pathé', 'LD Entertainment', 'Roadside Attractions']",10000000.0,2019,9,3,Fall,0.2565331160395227
False,"[9648, 18, 80]",392044,en,50.863,2017-11-03,Murder on the Orient Express,6.713,9568,352800000.0,"['The Mark Gordon Company', 'Scott Free Productions', 'Genre Films', '20th Century Fox']",55000000.0,2017,11,3,Fall,0.15589569160997732
False,"[9648, 53, 80]",945729,en,57.366,2023-09-13,A Haunting in Venice,6.709,1889,121400000.0,"['20th Century Studios', 'Scott Free Productions', 'The Mark Gordon Company', 'Genre Films', 'Agatha Christie Limited']",60000000.0,2023,9,3,Fall,0.4942339373970346
False,"[12, 35, 878]",39513,en,48.838,2011-02-14,Paul,6.712,5482,98000000.0,"['Universal Pictures', 'Relativity Media', 'Working Title Films', 'Big Talk Studios', 'Working Title Films']",40000000.0,2011,2,3,Winter,0.40816326530612246
